Company,Description,Source,Link,Month,Year,Ticker
Chevron (including Caltex and Texaco brands),"US fossil fuel multinational Chevron is the main corporationextracting gasclaimed by apartheid Israel in the East Mediterranean. Chevron generates billions in revenues, strengthening Israel’s war chest and apartheid system,exacerbating the climate crisisand Gaza siege, and is complicit in depriving the Palestinian people of their right to sovereignty over their natural resources. Chevron has thousands of retail gas stations around the world under the Chevron, Caltex, and Texaco brand names. Groups around the world have joined the campaign to #BoycottChevron. For more resources, visitboycottchevron.info.",BDS Website,https://bdsmovement.net/Guide-to-BDS-Boycott,December,2024,CVX
Intel,"In December 2023, amidst Israel’s genocide in Gaza, Intelannouncedthat it will invest $25 billion in apartheid Israel. In June 2024, following prolonged BDS pressure, and in response mainly to the financial risk of investing in a #ShutDownNation, thetech giant droppedthe project,according to Israeli financial media sources. For decades, Intel has been the largest international investor in apartheid Israel. Its plant at “Kiryat Gat” is built on land within the boundaries of the Palestinian village of Iraq al Manshiya, which was ethnically cleansed, razed to the ground, and then replaced by the current Israeli settlement. Intel remainsdeeply complicit in feeding Israel’s genocidal war chest, so the#BoycottIntel campaigncontinues.",BDS Website,https://bdsmovement.net/Guide-to-BDS-Boycott,December,2024,INTC
DELL,"Dell Technologies supplies the servers, maintains services and related equipment to the Israeli military as a part of a$150 million 2023 contractfunded by US foreign aid. Dell is committed to Israel’s ongoing ethnic cleansing of indigenous Palestinians byestablishing research and development activityin Israel’s National Cyber Park that attempts to strengthen illegal settlements in the Naqab, displacing Palestinian Bedouin communities. One month into Israel’s Gaza genocide, founder and CEO Michael Delldonated$350million worth of shares to Israel, further solidifying the genocidal partnership between Israel and Dell Technologies.",BDS Website,https://bdsmovement.net/Guide-to-BDS-Boycott,December,2024,DELL
Siemens,"Siemens (Germany) is themain contractorfor the Euro-Asia Interconnector, an Israel-EU submarine electricity cable that is planned to connect Israel’s illegal settlements in the occupied Palestinian territory to Europe. Siemens-branded electrical appliances are sold globally.",BDS Website,https://bdsmovement.net/Guide-to-BDS-Boycott,December,2024,SIE.DE
Hewlett Packard (HP),"Hewlett Packard (HP),includingHewlett Packard Enterprise (HPE) and HP Inc., is a significant enabler of Israel's ongoing occupation. Through its partnerships with the Israeli government, military, prisons and police, HP provides critical technological and logistical support that facilitates war crimes and crimes against humanity, includingillegal settlement construction and apartheidin the OPT. HPEsupportsIsrael’s Population and Immigration Authority, a crucial pillar of its apartheid system, by providing technology for its databases and IT systems. HP Inc (US)providesservices to the offices of genocide leaders, Israeli PM Netanyahu and Financial Minister Smotrich.",BDS Website,https://bdsmovement.net/Guide-to-BDS-Boycott,December,2024,HPQ
Microsoft,"Microsoft is perhaps the most complicit tech company in Israel’s illegal apartheid regime and ongoing genocide against 2.3 million Palestinians in Gaza. Microsoft’s complicity in Israel’s apartheid and genocide is well documented, exposing its strong ties to the Israeli military, its collaboration with Israeli government ministries, and its involvement in the Israeli prison system, which is notorious for systematic torture and abuse of Palestinians. Microsoftknowinglyprovides Israel with technology, including artificial intelligence (AI), that is deployed to facilitate grave human rights violations, war crimes, crimes against humanity (includingapartheid), as well asgenocide.Microsoftprovidesthe Israeli military with Azure cloud and artificial intelligence (AI) services that are crucial to empowering and accelerating Israel’s genocidal war on 2.3 million Palestinians in the illegally occupied Gaza Strip. Microsoft’s extensive ties with Israel’s military are revealed in investigations byThe Guardianwith the Israeli-Palestinian publication+972 Magazine, demonstrating how the Israeli militaryturned to Microsoftto meet the technological demands of genocide. The BDS movement, in collaboration with allied Microsoft workers (No Azure for Apartheid) arecalling for pressureon Microsoft wherever possible when reasonable alternatives exist, including boycotting Microsoft’sXboxand gaming, cutting institutional contracts with Microsoft and divesting from the company.",BDS Website,https://bdsmovement.net/Guide-to-BDS-Boycott,December,2024,MSFT
Carrefour,"The France-based multinational retailer is involved in war crimes committed by the Israeli regime of settler-colonialism and apartheid over the Palestinian people. It started with the French groupannouncinga franchise partnership with Electra Consumer Products (ECP) and its retail subsidiary, Yenot Bitan, both active in the illegal Israeli settlement enterprise. During Israel’s genocidal assault against Palestinians in Gaza, Carrefour-Israel hassupportedIsraelisoldierspartakingin the unfolding genocide of Palestinians in Gaza with gifts of personal packages. Evidence also shows that there isat least oneCarrefour-branded branch in an illegal settlement in the OPT.Since its launch, Carrefour-Israel’s complicity has only become worse. Electra Retail Ltd., a subsidiary of Electra Consumer Products, has a partnership with Israeli bank Hapoalim, which islistedin the UN database for complicity in Israel’s illegal settlement enterprise. Carrefour has also received loans fromfour major complicit Israeli banks, and it has established apartnershipwith six complicit high-tech Israeli start-ups on artificial intelligence, cybersecurity, among others.",BDS Website,https://bdsmovement.net/Guide-to-BDS-Boycott,December,2024,CA.PA
AXA,"Insurance giant AXA (France)holds$150.43 million – US$78.87 million in shares and US$71.56 million in bonds – in eleven companies that are arming Israel during its genocide against Palestinians in Gaza, including Boeing and General Dynamics. Both companies’ weapons have beendirectly linkedto Israeli attacks on Palestinians in Gaza, including mass killings, such as the bombing of the Tel al-Sultan refugee camp inRafahon 26 May, and the 10 September bombing of Palestinians sheltering inal-Mawasi, which Israel had designated as a “safe zone.”",BDS Website,https://bdsmovement.net/Guide-to-BDS-Boycott,December,2024,CS.PA
Reebok,"In early 2025, Reeboksigneda sponsorship contract with the Israel Football Association (IFA), which includes in its official leaguesteams in Israel’s illegal settlementson occupied Palestinian land. The IFA actively advocates, together with the Israeli government, to maintain these teams. Palestinians are calling on Reebok to immediately withdraw from the contract, or face a global boycott campaign just as Adidas, PUMA, and Erreà faced before them.",BDS Website,https://bdsmovement.net/Guide-to-BDS-Boycott,December,2024,N/A (private/brand)
Disney+,"Cancel or don’t sign up for Disney+ subscriptions! Disney and its subsidiaryMarvelare complicit in glorifying Israel’s regime of genocide and apartheid against Indigenous Palestinians. Marvel’sCaptain America: Brave New Worldand Disney’sSnow Whitestar actors Shira Haas and Gal Gadot, respectively, that have consciously and irrefutably taken up roles as cultural ambassadors for Israel, directly representing genocidal Israel’s propaganda efforts. For Captain America, Marvel and Disney are reviving the racist character of Ruth Bat-Seraph, whose decades-old backstory includes working for Mossad. Disney+ is therefore clearly implicated in enabling Israel’s genocide bydehumanizing Palestinians.",BDS Website,https://bdsmovement.net/Guide-to-BDS-Boycott,December,2024,DIS
SodaStream,SodaStream is an Israeli company that isactively complicit in Israel's policy of displacing the indigenous Bedouin-Palestinian citizensof present-day Israel in the Naqab (Negev) and has a long history of racial discrimination against Palestinian workers.,BDS Website,https://bdsmovement.net/Guide-to-BDS-Boycott,December,2024,JSDA
RE/MAX,"RE/MAX (US)markets and sells property in illegal Israeli settlementsbuilt on stolen Palestinian land, thus enabling Israel’s colonization of the occupied West Bank, including East Jerusalem.",BDS Website,https://bdsmovement.net/Guide-to-BDS-Boycott,December,2024,RMAX
Israeli produce and other products in your supermarkets,"Boycott producefrom Israel in your supermarket and demand their removal from shelves. Beyond being part of a trade that fuels Israel’s apartheid economy, Israeli fruits, vegetables, and wines misleadingly labeled as “Product of Israel” often include products of illegal settlements on stolen Palestinian land, and most Israeli companies exporting these products are complicit in the illegal occupation and apartheid regime. Israeli companies do not distinguish between the two, and neither should consumers.",BDS Website,https://bdsmovement.net/Guide-to-BDS-Boycott,December,2024,N/A
Google and Amazon (US):,"Project Nimbus, the joint$1.22 billion contractbetween Google and Amazon signed in 2021, provides cloud computing infrastructure, artificial intelligence and other technology services to the Israeli government and the Israeli military. Nimbus offers the platform for the Israeli military to run deadly AI programs such asLavender and Gospel– crucial to the Gaza genocide.In April 2024, months after the ICJ ruled Israel is plausiblycommitting genocidein Gaza, Google signed a new contract with the IDF, allowing military units to access Google’s automation technologies, data and AI services. By supporting Israeli apartheid withvital technologies,Amazon and Google are directly implicated in its entire system of oppression, including its regime of apartheid and its unfolding genocide in Gaza.Use alternatives to Amazon when you can. Order products directly from companies instead of using Amazon. BoycottAmazonproducts such asRing cameras, an Amazon subsidiary that partners with US police, using similarAmazon facial recognition technologyused to surveil Palestinians.",BDS Website,https://bdsmovement.net/Guide-to-BDS-Boycott,December,2024,"GOOGL, AMZN"
Booking/Airbnb/Expedia:,"All three travel services companies arelisted in the UN databaseof businesses implicated in Israel’s illegal colonial settlement enterprise.Airbnb (US),Booking Holdings(Netherlands) and Expedia (US) all offer rentals in illegal Israeli settlements built on stolen Palestinian land.",BDS Website,https://bdsmovement.net/Guide-to-BDS-Boycott,December,2024,"BKNG, ABNB, EXPE"
Teva Pharmaceutical Industries:,"Teva is an Israeli pharmaceutical company and one of the world’s largest generic drug manufacturers. Teva hassupported Israel’s unfolding genocidesince October 2023, but it has also benefited for decades from Israel’s illegal occupation of Palestinian lands allowing the companyto illegally exploit the captive Palestinian market. Alternative generic pharmaceuticals are now much more available than before in most countries.",BDS Website,https://bdsmovement.net/Guide-to-BDS-Boycott,December,2024,TEVA
Coca-Cola,"And that�s just the top ten out of hundreds of multinational brands contributing to plastic pollution across the globe.We all have a role to play in tackling plastic pollution. But the reality is, individual consumers are already bearing the burden of this crisis. We�re swapping plastic bottles for reusable glass and metal, ditching disposable straws, avoiding unnecessary packaging in our grocery stores, and cleaning up our beaches as best we can. But there�s only so much we can do if companies don�t step up and provide more sustainable choices.",greenpeace,https://www.greenpeace.org/international/story/18876/these-10-companies-are-flooding-the-planet-with-throwaway-plastic/?utm_source=chatgpt.com,October,2018,KO
